#BLTrackFile initial
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
931.272 -304.647 0 107.419 -242.981 9996.47 0 2212 194 1 0 1
1481.97 -111.622 0 -114.807 248.681 9996.25 0 2212 195 1 0 1
741.021 -346.665 0 -165.874 -310.15 9993.81 0 2212 196 1 0 1
-99.4383 424.646 0 -337.674 -387.287 9986.79 0 2212 197 1 0 1
-376.152 -65.9051 0 -209.626 -144.287 9996.76 0 2212 198 1 0 1
-643.608 372.633 0 -150.34 865.303 9961.36 0 2212 199 1 0 1
-482.998 -346.05 0 -98.1454 -391.216 9991.86 0 2212 200 1 0 1
614.181 161.783 0 134.817 -320.178 9993.96 0 2212 201 1 0 1
-363.443 196.417 0 -128.111 -11.8998 9999.17 0 2212 202 1 0 1
601.149 52.7016 0 225.914 -247.661 9994.38 0 2212 203 1 0 1
-111.441 -266.368 0 -216.53 100.187 9997.15 0 2212 204 1 0 1
-391.278 68.4158 0 -101.47 60.3549 9999.3 0 2212 205 1 0 1
773.975 -137.456 0 -267.494 138.7 9995.46 0 2212 206 1 0 1
398.362 -88.5882 0 184.995 613.603 9979.44 0 2212 207 1 0 1
253.143 182.882 0 345.082 -366.178 9987.33 0 2212 208 1 0 1
18.9089 236.563 0 -144.365 399.93 9990.96 0 2212 209 1 0 1
463.848 458.287 0 -2.20596 -464.202 9989.22 0 2212 210 1 0 1
412.262 -436.887 0 -155.079 -335.77 9993.16 0 2212 211 1 0 1
-532.617 -157.736 0 -25.4571 927.878 9956.83 0 2212 212 1 0 1
550.064 41.0001 0 -351.824 213.959 9991.52 0 2212 213 1 0 1
-492.067 92.2418 0 101.588 -99.9676 9998.98 0 2212 214 1 0 1
-333.611 101.809 0 211.889 235.635 9994.98 0 2212 215 1 0 1
465.002 162.363 0 159.461 285.381 9994.66 0 2212 216 1 0 1
-115.66 386.176 0 -266.137 375.55 9989.4 0 2212 217 1 0 1
-1193.27 227.34 0 -2.3287 452.334 9989.76 0 2212 218 1 0 1
-313.116 -228.658 0 85.9534 -387.574 9992.12 0 2212 219 1 0 1
316.928 -213.362 0 -44.2395 78.5971 9999.59 0 2212 220 1 0 1
592.333 -247.1 0 -214.602 304.969 9993.04 0 2212 221 1 0 1
531.819 393.245 0 229.773 897.663 9956.98 0 2212 222 1 0 1
1259.15 -90.1991 0 -273.923 781.284 9965.67 0 2212 223 1 0 1
-154.967 353.297 0 457.498 -311.39 9984.67 0 2212 224 1 0 1
827.531 68.9771 0 282.194 -122.318 9995.27 0 2212 225 1 0 1
-1121.09 -200.356 0 -130.189 967.125 9952.27 0 2212 226 1 0 1
-127.251 -391.819 0 -226.875 -591.673 9979.9 0 2212 227 1 0 1
136.675 -185.499 0 76.5859 -296.122 9995.32 0 2212 228 1 0 1
-99.3786 70.6241 0 5.99551 -252.134 9996.82 0 2212 229 1 0 1
-1165.44 -27.6639 0 449.305 -183.308 9988.22 0 2212 230 1 0 1
-156.885 -128.258 0 178.605 276.545 9994.58 0 2212 231 1 0 1
-689.59 345.186 0 -328.497 141.064 9993.61 0 2212 232 1 0 1
-112.185 82.4662 0 37.0451 372.134 9993 0 2212 233 1 0 1
567.71 -458.465 0 179.225 513.526 9985.2 0 2212 234 1 0 1
-156.562 -29.3389 0 -50.5564 -96.1904 9999.41 0 2212 235 1 0 1
285.472 -82.2252 0 81.9671 -154.357 9998.47 0 2212 236 1 0 1
641.878 -1.11919 0 -224.115 397.42 9989.59 0 2212 237 1 0 1
508.188 -105.959 0 -129.644 182.486 9997.49 0 2212 238 1 0 1
777.155 -248.426 0 -44.1812 472.953 9988.71 0 2212 239 1 0 1
223.551 55.2877 0 73.2394 102.021 9999.21 0 2212 240 1 0 1
372.509 383.78 0 235.688 -168.618 9995.8 0 2212 241 1 0 1
421.71 120.01 0 195.34 463.672 9987.33 0 2212 242 1 0 1
-262.145 -140.881 0 57.8894 -162.555 9998.51 0 2212 243 1 0 1
848.557 78.3342 0 177.303 -524.454 9984.66 0 2212 244 1 0 1
-100.963 -79.7135 0 -53.6852 -538.464 9985.35 0 2212 245 1 0 1
231.996 54.0545 0 -200.448 137.507 9997.05 0 2212 246 1 0 1
-274.291 74.3062 0 241.16 548.154 9982.05 0 2212 247 1 0 1
317.503 -245.336 0 107.057 42.6014 9999.34 0 2212 248 1 0 1
648.919 -50.0408 0 -343.559 137.48 9993.15 0 2212 249 1 0 1
-152.942 288.404 0 -238.846 -683.452 9973.76 0 2212 250 1 0 1
-694.56 356.159 0 -101.5 -133.039 9998.6 0 2212 251 1 0 1
-116.3 101.697 0 33.6701 446.534 9989.97 0 2212 252 1 0 1
-719.323 -162.864 0 74.4623 -103.814 9999.18 0 2212 253 1 0 1
-123.683 -349.552 0 -131.509 -769.557 9969.48 0 2212 254 1 0 1
401.363 168.509 0 228.141 383.116 9990.05 0 2212 255 1 0 1
-461.845 343.999 0 -59.3492 -442.961 9990.01 0 2212 256 1 0 1
-235.631 101.061 0 10.6391 -617.718 9980.9 0 2212 257 1 0 1
-375.714 -104.618 0 -282.249 377.02 9988.9 0 2212 258 1 0 1
135.207 51.9611 0 -1.7746 278.642 9996.12 0 2212 259 1 0 1
373.218 -481.77 0 73.9843 -15.786 9999.71 0 2212 260 1 0 1
739.64 -232.597 0 224.593 -624.326 9977.96 0 2212 261 1 0 1
401.085 122.591 0 5.32632 -26.0369 9999.96 0 2212 262 1 0 1
-277.184 -104.096 0 202.14 208.989 9995.77 0 2212 263 1 0 1
-96.5687 -20.2576 0 100.353 133.152 9998.61 0 2212 264 1 0 1
-298.923 253.727 0 48.1408 -1136.4 9935.1 0 2212 265 1 0 1
120.624 -142.827 0 -228.981 -356.77 9991.01 0 2212 266 1 0 1
493.419 212.834 0 -286.139 -5.37548 9995.9 0 2212 267 1 0 1
427.962 75.0523 0 -188.455 192.462 9996.37 0 2212 268 1 0 1
498.93 257.171 0 232.968 -115.857 9996.61 0 2212 269 1 0 1
609.721 68.8502 0 385.441 -149.596 9991.45 0 2212 270 1 0 1
-328.045 369.644 0 186.099 -316.01 9993.27 0 2212 271 1 0 1
722.39 258.969 0 -0.375697 -251.157 9996.85 0 2212 272 1 0 1
-54.9808 165.643 0 207.975 -257.76 9994.51 0 2212 273 1 0 1
-225.982 2.94464 0 32.9627 -397.634 9992.04 0 2212 274 1 0 1
527.48 -216.067 0 165.673 -521.469 9985.02 0 2212 275 1 0 1
-371.081 251.149 0 74.9786 -420.874 9990.86 0 2212 276 1 0 1
-160.108 -232.874 0 103.556 -452.788 9989.21 0 2212 277 1 0 1
-426.961 -125.55 0 80.7189 54.2326 9999.53 0 2212 278 1 0 1
-257.553 -142.358 0 277.672 163.657 9994.8 0 2212 279 1 0 1
-417.518 -330.548 0 5.91735 -59.2318 9999.82 0 2212 280 1 0 1
-49.0896 -2.94095 0 -149.616 116.457 9998.2 0 2212 281 1 0 1
101.514 -171.211 0 -5.86369 256.228 9996.72 0 2212 282 1 0 1
-163.657 294.479 0 -127.722 -143.335 9998.16 0 2212 283 1 0 1
-689.815 -258.411 0 -109.835 -50.8465 9999.27 0 2212 284 1 0 1
-143.455 36.2571 0 424.984 -126.044 9990.17 0 2212 285 1 0 1
